"","Web","Diameter"
"1","akatorea",3
"2","akatoreb",3
"3","benguela",4
"4","berwick",3
"5","blackrock",3
"6","bridgebrook",3
"7","broad",3
"8","broom",3
"9","bsq",4
"10","canton",4
"11","catlins",2
"12","caymen fw",5
"13","chesapeake",5
"14","coachella",4
"15","coweeta1",3
"16","coweeta17",2
"17","csm",3
"18","cuban fw",6
"19","dempstersau",5
"20","dempsterssp",3
"21","dempsterssu",5
"22","elverde",7
"23","epb",3
"24","flensburg",4
"25","german",3
"26","grass",2
"27","healy",4
"28","jamaican fw",5
"29","kyeburn",3
"30","lilkyeburn",3
"31","littlerock",6
"32","martins",4
"33","narrowdale",3
"34","northcol",3
"35","otago",3
"36","powder",3
"37","quick",6
"38","reef",5
"39","shelf",8
"40","skipwith",3
"41","stmarks",4
"42","stmartin",3
"43","stony",3
"44","suttonau",3
"45","suttonsp",2
"46","suttonsu",2
"47","sylt",4
"48","troy",3
"49","venlaw",3
"50","ythan_nopar96",4
